kelurahan,total_kejadian,banjir_berat,rata_ketinggian_air,rata_jiwa_terdampak,persentase_banjir_berat
0,1,0,40.0,0.0,0.0
ANCOL,3,0,33.333333333333336,66.66666666666667,0.0
BALE KAMBANG,2,0,125.0,210.5,0.0
BALEKAMBANG,11,0,60.90909090909091,4.636363636363637,0.0
BAMBU APUS,5,0,76.0,9.6,0.0
BANGKA,11,0,60.90909090909091,94.63636363636364,0.0
BATU AMPAR,4,0,66.25,6.0,0.0
BENDUNGAN HILIR,2,0,65.0,97.5,0.0
BIDARA CINA,28,4,87.14285714285714,503.17857142857144,14.285714285714285
BINTARO,22,0,49.54545454545455,27.09090909090909,0.0
BUKIT DURI,4,0,102.5,57.0,0.0
CAKUNG BARAT,3,0,90.0,316.0,0.0
CAKUNG TIMUR,3,1,76.66666666666667,498.3333333333333,33.33333333333333
CAWANG,36,3,85.13888888888889,57.55555555555556,8.333333333333332
CEGER,1,0,70.0,80.0,0.0
CEMPAKA BARU,1,0,50.0,0.0,0.0
CEMPAKA PUTIH BARAT,2,0,22.5,0.0,0.0
CEMPAKA PUTIH TIMUR,1,0,30.0,0.0,0.0
CENGKARENG BARAT,5,1,39.0,444.0,20.0
CENGKARENG TIMUR,2,0,70.0,181.0,0.0
CIBUBUR,4,0,80.0,30.0,0.0
CIGANJUR,5,1,84.0,270.0,20.0
CIJANTUNG,3,0,48.333333333333336,69.0,0.0
CIKOKO,2,0,87.5,73.5,0.0
CILANDAK BARAT,2,0,130.0,150.0,0.0
CILANDAK TIMUR,8,1,121.875,55.0,12.5
CILANGKAP,3,0,43.333333333333336,0.0,0.0
CILILITAN,12,0,68.33333333333333,51.583333333333336,0.0
CILINCING,3,1,28.333333333333332,373.6666666666667,33.33333333333333
CIPAYUNG,3,0,71.66666666666667,63.333333333333336,0.0
CIPEDAK,8,0,43.75,21.875,0.0
CIPETE SELATAN,4,0,33.75,16.25,0.0
CIPETE UTARA,2,0,45.0,115.5,0.0
CIPINANG,2,1,55.0,1350.0,50.0
CIPINANG BESAR SELATAN,1,0,150.0,279.0,0.0
CIPINANG BESAR UTARA,1,0,20.0,0.0,0.0
CIPINANG CEMPEDAK,2,0,32.5,0.0,0.0
CIPINANG MELAYU,10,3,69.0,1833.0,30.0
CIPINANG MUARA,5,1,65.0,419.2,20.0
CIPULIR,12,0,63.333333333333336,75.0,0.0
CIRACAS,12,0,69.16666666666667,0.0,0.0
DUKUH,3,1,76.66666666666667,373.0,33.33333333333333
DUREN SAWIT,3,0,31.666666666666668,0.0,0.0
DUREN TIGA,4,0,47.5,86.25,0.0
DURI KEPA,8,0,43.75,16.25,0.0
DURI KOSAMBI,7,1,45.0,175.71428571428572,14.285714285714285
GANDARIA SELATAN,1,0,80.0,0.0,0.0
GANDARIA UTARA,1,0,30.0,0.0,0.0
GEDONG,2,0,82.5,50.0,0.0
GROGOL SELATAN,1,0,70.0,250.0,0.0
GROGOL UTARA,2,0,40.0,0.0,0.0
GUNTUR,2,0,55.0,12.5,0.0
GUNUNG,1,0,150.0,40.0,0.0
GUNUNG SAHARI SELATAN,2,0,85.0,0.0,0.0
GUNUNG SAHARI UTARA,1,0,30.0,0.0,0.0
HALIM PERDANA KUSUMA,2,0,100.0,150.0,0.0
JAGAKARSA,2,0,55.0,117.5,0.0
JATI,2,0,65.0,42.0,0.0
JATI PADANG,9,1,38.888888888888886,86.77777777777777,11.11111111111111
JATI PULO,2,0,35.0,0.0,0.0
JATINEGARA,3,0,35.0,50.0,0.0
JATINEGARA KAUM,1,0,40.0,0.0,0.0
JELAMBAR,3,0,20.0,0.0,0.0
JELAMBAR BARU,2,0,40.0,30.0,0.0
JOGLO,1,0,150.0,0.0,0.0
JOHAR BARU,3,0,33.333333333333336,46.666666666666664,0.0
KALIBATA,3,1,83.33333333333333,1205.0,33.33333333333333
KALIDERES,4,0,27.5,36.75,0.0
KALISARI,5,0,29.0,0.0,0.0
KAMAL,2,0,42.5,0.0,0.0
KAMPUNG MELAYU,51,6,75.49019607843137,206.50980392156862,11.76470588235294
KAMPUNG RAWA,1,0,20.0,0.0,0.0
KAPUK,5,2,35.0,892.2,40.0
KAPUK MUARA,4,0,32.5,0.0,0.0
KARANG ANYAR,1,0,20.0,0.0,0.0
KARET,1,0,30.0,0.0,0.0
KARET SEMANGGI,2,0,115.0,162.5,0.0
KARET TENGSIN,2,1,115.0,1039.0,50.0
KAYU PUTIH,2,2,125.0,5206.5,100.0
KEBAGUSAN,3,0,66.66666666666667,61.666666666666664,0.0
KEBAYORAN LAMA SELATAN,3,0,70.0,18.333333333333332,0.0
KEBAYORAN LAMA UTARA,1,0,70.0,700.0,0.0
KEBON BARU,9,1,50.55555555555556,241.11111111111111,11.11111111111111
KEBON BAWANG,3,0,30.0,0.0,0.0
KEBON JERUK,4,0,35.0,0.0,0.0
KEBON KELAPA,1,0,20.0,0.0,0.0
KEBON KOSONG,1,0,50.0,0.0,0.0
KEBON MANGGIS,3,2,76.66666666666667,702.0,66.66666666666666
KEBON MELATI,1,0,50.0,0.0,0.0
KEBON PALA,22,0,44.54545454545455,9.5,0.0
KEBON SIRIH,1,0,90.0,0.0,0.0
KEDAUNG KALI ANGKE,5,1,54.0,560.8,20.0
KEDOYA SELATAN,19,0,51.8421052631579,1.894736842105263,0.0
KEDOYA UTARA,8,0,56.25,154.75,0.0
KELAPA DUA ,1,0,60.0,0.0,0.0
KELAPA DUA WETAN,2,0,95.0,167.5,0.0
KELAPA GADING BARAT,2,0,37.5,0.0,0.0
KELAPA GADING TIMUR,2,0,35.0,185.5,0.0
KEMANGGISAN,2,0,95.0,0.0,0.0
KEMAYORAN,1,0,20.0,0.0,0.0
KEMBANGAN SELATAN,13,0,57.30769230769231,54.61538461538461,0.0
KEMBANGAN UTARA,6,0,57.5,173.5,0.0
KENARI,1,0,20.0,0.0,0.0
KLENDER,2,1,115.0,235.0,50.0
KOTA BAMBU SELATAN,2,0,100.0,42.5,0.0
KOTA BAMBU UTARA,4,0,37.5,0.0,0.0
KRAMAT,1,0,50.0,0.0,0.0
KRAMAT JATI,1,0,150.0,346.0,0.0
KRAMAT PELA,2,1,85.0,26.0,50.0
KRENDANG,1,0,30.0,0.0,0.0
KUNINGAN BARAT,4,0,62.5,204.0,0.0
KUNINGAN TIMUR,1,0,70.0,269.0,0.0
LEBAK BULUS,6,0,65.0,16.833333333333332,0.0
LENTENG AGUNG,1,0,30.0,507.0,0.0
LUBANG BUAYA,5,0,60.0,0.0,0.0
MAKASAR,14,3,43.57142857142857,371.07142857142856,21.428571428571427
MALAKA JAYA,2,0,125.0,110.0,0.0
MALAKA SARI,1,0,70.0,0.0,0.0
MAMPANG PRAPATAN,2,0,135.0,398.5,0.0
MANGGA BESAR,1,0,40.0,0.0,0.0
MANGGA DUA SELATAN,1,0,30.0,0.0,0.0
MANGGARAI,8,0,63.75,33.875,0.0
MANGGARAI SELATAN,2,0,90.0,0.0,0.0
MARUNDA,4,0,40.0,104.25,0.0
MENTENG,1,0,60.0,0.0,0.0
MENTENG ATAS,2,0,40.0,0.0,0.0
MENTENG DALAM,1,0,130.0,0.0,0.0
MERUYA SELATAN,1,0,80.0,0.0,0.0
MERUYA UTARA,2,0,40.0,0.0,0.0
PADEMANGAN BARAT ,1,0,30.0,0.0,0.0
PADEMANGAN TIMUR,1,0,20.0,0.0,0.0
PAL MERIAM,1,0,60.0,0.0,0.0
PALMERAH,5,0,36.0,0.0,0.0
PANCORAN,1,0,30.0,335.0,0.0
PASAR BARU,2,0,55.0,312.5,0.0
PASAR MANGGIS,1,0,40.0,0.0,0.0
PASAR MINGGU,1,0,15.0,0.0,0.0
PASEBAN,1,0,20.0,0.0,0.0
PEGADUNGAN,8,0,33.75,0.0,0.0
PEGANGSAAN DUA,2,0,70.0,196.0,0.0
PEJAGALAN,3,2,90.0,472.6666666666667,66.66666666666666
PEJATEN BARAT,3,0,43.333333333333336,0.0,0.0
PEJATEN TIMUR,17,1,98.52941176470588,90.70588235294117,5.88235294117647
PEKAYON,8,0,49.375,0.0,0.0
PEKOJAN,1,0,50.0,0.0,0.0
PELA MAMPANG,6,0,78.33333333333333,183.16666666666666,0.0
PENGADEGAN,6,1,116.66666666666667,280.6666666666667,16.666666666666664
PENGGILINGAN,3,0,30.0,0.0,0.0
PENJARINGAN,3,0,50.0,0.0,0.0
PETAMBURAN,4,0,53.75,0.0,0.0
PETOGOGAN,7,0,62.142857142857146,0.0,0.0
PETUKANGAN SELATAN,2,0,55.0,0.0,0.0
PETUKANGAN UTARA,1,0,150.0,150.0,0.0
PINANG RANTI,5,0,51.0,24.0,0.0
PINANGSIA,1,0,20.0,0.0,0.0
PISANGAN BARU,2,0,65.0,600.0,0.0
PISANGAN TIMUR,1,0,100.0,0.0,0.0
PLUIT,5,1,70.0,24.0,20.0
PONDOK BAMBU,3,0,83.33333333333333,134.66666666666666,0.0
PONDOK KELAPA,2,2,135.0,1298.5,100.0
PONDOK KOPI,2,1,45.0,110.0,50.0
PONDOK LABU,6,0,48.333333333333336,22.333333333333332,0.0
PONDOK PINANG,14,0,109.64285714285714,74.21428571428571,0.0
PONDOK RANGGON,1,0,80.0,10.0,0.0
PULAU HARAPAN,7,0,15.0,0.0,0.0
PULAU HARAPAN ,1,0,20.0,0.0,0.0
PULAU KELAPA,1,0,45.0,0.0,0.0
PULAU PANGGANG,1,0,40.0,0.0,0.0
PULAU PARI,1,0,50.0,0.0,0.0
PULAU TIDUNG,1,0,50.0,0.0,0.0
PULAU UNTUNG JAWA,1,0,45.0,0.0,0.0
PULO,2,0,85.0,8.0,0.0
PULO GADUNG,1,0,30.0,0.0,0.0
PULO GEBANG,2,0,52.5,0.0,0.0
PULOGADUNG,1,0,100.0,0.0,0.0
RAGUNAN,3,0,33.333333333333336,0.0,0.0
RAMBUTAN,23,1,55.65217391304348,225.3913043478261,4.3478260869565215
RAWA BADAK SELATAN,6,0,68.33333333333333,0.0,0.0
RAWA BARAT,1,0,150.0,99.0,0.0
RAWA BUAYA,12,1,29.166666666666668,177.75,8.333333333333332
RAWA BUNGA,2,1,70.0,2280.0,50.0
RAWA TERATE,3,1,156.66666666666666,919.6666666666666,33.33333333333333
RAWAJATI,11,0,55.0,68.45454545454545,0.0
RAWAMANGUN,1,0,30.0,0.0,0.0
RAWASARI,1,0,30.0,0.0,0.0
ROROTAN,4,1,76.25,325.0,25.0
SEMANAN,3,1,96.66666666666667,704.0,33.33333333333333
SEMPER BARAT,2,0,55.0,611.0,0.0
SEMPER TIMUR,2,0,92.5,160.0,0.0
SERDANG,2,0,30.0,0.0,0.0
SETU,5,0,66.0,9.4,0.0
SLIPI,1,0,70.0,0.0,0.0
SRENGSENG,12,0,42.083333333333336,1.25,0.0
SRENGSENG SAWAH,1,0,30.0,372.0,0.0
SUKA PURA,1,0,150.0,278.0,0.0
SUKABUMI SELATAN,5,0,86.0,0.0,0.0
SUKABUMI UTARA,5,0,78.0,0.0,0.0
SUKAPURA,1,1,100.0,566.0,100.0
SUMUR BATU,1,0,50.0,0.0,0.0
SUNTER JAYA,1,0,30.0,0.0,0.0
SUSUKAN,8,1,28.75,233.5,12.5
TANAH TINGGI,1,0,30.0,0.0,0.0
TANGKI,1,0,40.0,0.0,0.0
TANJUNG BARAT,2,0,85.0,0.0,0.0
TANJUNG DUREN SELATAN,1,0,25.0,0.0,0.0
TANJUNG DUREN UTARA,5,0,52.0,17.0,0.0
TANJUNG PRIOK,1,0,30.0,0.0,0.0
TEBET BARAT,1,0,40.0,0.0,0.0
TEGAL ALUR,4,2,62.5,302.0,50.0
TEGAL PARANG,3,0,70.0,352.6666666666667,0.0
TENGAH,4,0,67.5,0.0,0.0
TOMANG,2,0,60.0,12.0,0.0
TUGU SELATAN,2,0,65.0,96.0,0.0
TUGU UTARA,1,0,60.0,0.0,0.0
UJUNG MENTENG,1,0,70.0,70.0,0.0
ULUJAMI,14,0,53.57142857142857,22.928571428571427,0.0
UTAN KAYU SELATAN,2,0,65.0,0.0,0.0
UTAN KAYU UTARA,1,0,60.0,0.0,0.0
WARAKAS,1,0,20.0,0.0,0.0
WIJAYA KUSUMA,1,0,70.0,208.0,0.0
